ask,bid,change,contract_name,expiration,implied_volatility,last_trade,open_interest,perc_change,strike,volume
0.00,31.50,0.00,,"September 17, 2021",0,2020-08-07 3:29PM EDT,31,,,
0.00,26.85,0.00,,"September 17, 2021",0,2020-08-07 2:44PM EDT,29,,,
0.00,85.00,0.00,,"January 21, 2022",0,2020-08-06 1:51PM EDT,6,,,
0.00,79.50,0.00,,"January 21, 2022",0,2020-08-07 12:08PM EDT,2,,,
0.00,50.65,0.00,,"March 18, 2022",0,2020-08-07 10:12AM EDT,1,,,
0.00,46.77,0.00,,"March 18, 2022",0,2020-08-06 10:23AM EDT,2,,,
0.00,44.50,0.00,,"March 18, 2022",0,2020-08-06 11:23AM EDT,3,,,
0.00,41.60,0.00,,"March 18, 2022",0,2020-08-07 12:40PM EDT,4,,,
0.00,36.87,0.00,,"March 18, 2022",0,2020-08-07 3:35PM EDT,43,,,
0.00,0.07,0.00,,"August 14, 2020",0,2020-08-07 3:29PM EDT,427,,,
0.00,0.04,0.00,,"August 14, 2020",0,2020-08-07 3:46PM EDT,298,,,
0.00,0.05,0.00,,"August 14, 2020",0,2020-08-07 3:27PM EDT,253,,,
0.00,0.04,0.00,,"August 14, 2020",0,2020-08-07 3:44PM EDT,180,,,
0.00,0.05,0.00,,"August 14, 2020",0,2020-08-07 2:44PM EDT,27,,,
0.00,75.10,0.00,,"September 16, 2022",0,2020-08-07 2:22PM EDT,2,,,
0.00,73.40,0.00,,"September 16, 2022",0,2020-08-06 3:11PM EDT,4,,,
0.00,69.80,0.00,,"September 16, 2022",0,2020-08-06 10:56AM EDT,2,,,
0.00,64.65,0.00,,"September 16, 2022",0,2020-08-07 1:23PM EDT,1,,,
0.00,0.85,0.00,,"June 18, 2021",604,2020-07-09 4:58PM EDT,1,,,
0.00,0.48,0.00,,"June 18, 2021",0,2020-07-27 3:03PM EDT,2,,,
0.00,0.60,0.00,,"June 18, 2021",0,2020-07-22 10:47AM EDT,3,,,
0.00,0.85,0.00,,"June 18, 2021",0,2020-07-24 10:37AM EDT,50,,,
0.00,0.97,0.00,,"June 18, 2021",0,2020-08-07 9:30AM EDT,3,,,
0.00,0.95,0.00,,"June 18, 2021",0,2020-08-03 9:30AM EDT,2,,,
0.00,1.43,0.00,,"June 18, 2021",0,2020-08-07 9:30AM EDT,3,,,
0.00,1.95,0.00,,"June 18, 2021",0,2020-08-07 2:22PM EDT,50,,,
0.00,59.25,0.00,,"June 17, 2022",0,2020-07-28 1:24PM EDT,4,,,
0.00,62.25,0.00,,"June 17, 2022",0,2020-08-03 11:17AM EDT,2,,,
0.00,60.60,0.00,,"June 17, 2022",0,2020-08-05 2:13PM EDT,6,,,
0.00,56.60,0.00,,"June 17, 2022",0,2020-08-05 3:50PM EDT,14,,,
0.00,54.90,0.00,,"June 17, 2022",0,2020-08-07 3:51PM EDT,13,,,
0.00,52.00,0.00,,"June 17, 2022",0,2020-08-03 2:23PM EDT,7,,,
0.00,23.01,0.00,,"September 17, 2021",0,2020-08-07 3:35PM EDT,9,,,
0.00,19.80,0.00,,"September 17, 2021",0,2020-08-07 1:36PM EDT,54,,,
0.00,16.50,0.00,,"September 17, 2021",0,2020-08-07 1:29PM EDT,2,,,
0.00,14.10,0.00,,"September 17, 2021",0,2020-08-07 3:57PM EDT,56,,,
0.00,11.51,0.00,,"September 17, 2021",0,2020-08-07 11:55AM EDT,70,,,
0.00,9.65,0.00,,"September 17, 2021",0,2020-08-07 11:57AM EDT,1,,,
0.00,76.71,0.00,,"January 21, 2022",0,2020-08-07 10:21AM EDT,1,,,
0.00,71.00,0.00,,"January 21, 2022",0,2020-08-07 1:24PM EDT,3,,,
0.00,68.90,0.00,,"January 21, 2022",0,2020-08-07 10:10AM EDT,1,,,
0.00,65.10,0.00,,"January 21, 2022",0,2020-08-07 3:39PM EDT,15,,,
0.00,61.65,0.00,,"January 21, 2022",0,2020-08-07 3:49PM EDT,42,,,
0.00,57.60,0.00,,"January 21, 2022",0,2020-08-07 1:48PM EDT,22,,,
0.00,32.40,0.00,,"March 18, 2022",0,2020-08-07 1:17PM EDT,6,,,
0.00,28.95,0.00,,"March 18, 2022",0,2020-08-07 10:14AM EDT,1,,,
0.00,25.45,0.00,,"March 18, 2022",0,2020-08-07 3:47PM EDT,1,,,
0.00,22.00,0.00,,"March 18, 2022",0,2020-08-07 10:46AM EDT,2,,,
0.00,19.50,0.00,,"March 18, 2022",0,2020-08-06 3:26PM EDT,2,,,
0.00,0.03,0.00,,"August 14, 2020",0,2020-08-07 12:00PM EDT,25,,,
0.00,0.03,0.00,,"August 14, 2020",0,2020-08-07 3:47PM EDT,928,,,
0.00,0.02,0.00,,"August 14, 2020",0,2020-08-07 3:29PM EDT,114,,,
0.00,0.02,0.00,,"August 14, 2020",0,2020-08-07 3:53PM EDT,226,,,
0.00,62.40,0.00,,"September 16, 2022",0,2020-08-07 1:47PM EDT,1,,,
0.00,60.00,0.00,,"September 16, 2022",0,2020-08-07 12:00PM EDT,24,,,
0.00,56.10,0.00,,"September 16, 2022",0,2020-08-07 2:19PM EDT,8,,,
0.00,54.00,0.00,,"September 16, 2022",0,2020-08-07 1:59PM EDT,2,,,
0.00,50.85,0.00,,"September 16, 2022",0,2020-08-07 1:25PM EDT,7,,,
0.00,2.10,0.00,,"June 18, 2021",0,2020-08-06 9:42AM EDT,5,,,
0.00,2.80,0.00,,"June 18, 2021",0,2020-08-07 2:23PM EDT,3,,,
0.00,3.00,0.00,,"June 18, 2021",0,2020-08-06 9:41AM EDT,2,,,
0.00,3.45,0.00,,"June 18, 2021",0,2020-08-06 10:53AM EDT,3,,,
0.00,4.45,0.00,,"June 18, 2021",0,2020-08-07 3:50PM EDT,103,,,
0.00,5.00,0.00,,"June 18, 2021",0,2020-08-07 12:55PM EDT,5,,,
135.75,138.00,137.15,,"March 19, 2021",4,2020-06-24 9:37AM EDT,2,,,
0.00,49.34,0.00,,"June 17, 2022",0,2020-08-07 11:55AM EDT,2,,,
0.00,46.70,0.00,,"June 17, 2022",0,2020-08-07 12:03PM EDT,1,,,
0.00,43.45,0.00,,"June 17, 2022",0,2020-08-07 2:32PM EDT,7,,,
0.00,38.70,0.00,,"June 17, 2022",0,2020-08-07 3:43PM EDT,17,,,
0.00,34.35,0.00,,"June 17, 2022",0,2020-08-07 3:43PM EDT,9,,,
0.00,30.95,0.00,,"June 17, 2022",0,2020-08-07 12:25PM EDT,2,,,
0.00,8.38,0.00,,"September 17, 2021",0,2020-08-07 3:07PM EDT,4,,,
0.00,7.00,0.00,,"September 17, 2021",0,2020-08-07 1:51PM EDT,5,,,
0.00,6.10,0.00,,"September 17, 2021",0,2020-08-07 3:47PM EDT,6,,,
0.00,5.05,0.00,,"September 17, 2021",0,2020-08-07 2:22PM EDT,5,,,
0.00,1.40,0.00,,"September 17, 2021",0,2020-08-03 1:00PM EDT,7,,,
0.00,1.61,0.00,,"September 17, 2021",0,2020-08-03 11:57AM EDT,4,,,
0.00,29.25,0.00,,"February 19, 2021",-,2020-08-07 3:04PM EDT,6,,,
0.00,56.23,0.00,,"January 21, 2022",0,2020-08-06 2:33PM EDT,1,,,
0.00,51.91,0.00,,"January 21, 2022",0,2020-08-07 3:48PM EDT,11,,,
0.00,48.30,0.00,,"January 21, 2022",0,2020-08-07 1:27PM EDT,3,,,
0.00,45.50,0.00,,"January 21, 2022",0,2020-08-07 3:13PM EDT,8,,,
0.00,16.20,0.00,,"March 18, 2022",0,2020-08-07 12:04PM EDT,1,,,
0.00,14.45,0.00,,"March 18, 2022",0,2020-08-07 2:28PM EDT,2,,,
0.00,10.97,0.00,,"March 18, 2022",0,2020-08-07 10:44AM EDT,1,,,
0.00,9.55,0.00,,"March 18, 2022",0,2020-08-07 9:57AM EDT,2,,,
0.00,7.89,0.00,,"March 18, 2022",0,2020-08-06 11:52AM EDT,-,,,
0.00,0.03,0.00,,"August 14, 2020",0,2020-08-07 3:19PM EDT,48,,,
0.00,0.03,0.00,,"August 14, 2020",0,2020-08-07 3:51PM EDT,24,,,
0.00,0.05,0.00,,"August 14, 2020",0,2020-08-07 3:58PM EDT,151,,,
0.00,0.08,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,5,,,
0.00,48.79,0.00,,"September 16, 2022",0,2020-08-07 12:11PM EDT,1,,,
0.00,46.00,0.00,,"September 16, 2022",0,2020-08-07 2:32PM EDT,183,,,
0.00,42.40,0.00,,"September 16, 2022",0,2020-08-07 3:54PM EDT,74,,,
0.00,38.00,0.00,,"September 16, 2022",0,2020-08-07 3:36PM EDT,50,,,
0.00,5.35,0.00,,"June 18, 2021",0,2020-08-04 3:30PM EDT,150,,,
0.00,6.90,0.00,,"June 18, 2021",0,2020-08-07 3:58PM EDT,3,,,
0.00,7.95,0.00,,"June 18, 2021",0,2020-08-07 3:59PM EDT,9,,,
0.00,9.05,0.00,,"June 18, 2021",0,2020-08-07 3:55PM EDT,166,,,
0.00,10.25,0.00,,"June 18, 2021",0,2020-08-07 3:47PM EDT,50,,,
0.00,11.61,0.00,,"June 18, 2021",0,2020-08-07 3:55PM EDT,20,,,
0.00,114.89,0.00,,"March 19, 2021",3,2020-07-09 4:58PM EDT,4,,,
0.00,71.30,0.00,,"March 19, 2021",0,2020-07-09 4:58PM EDT,116,,,
0.00,98.00,0.00,,"March 19, 2021",1,2020-07-09 4:58PM EDT,1,,,
0.00,86.70,0.00,,"March 19, 2021",21,2020-07-09 4:58PM EDT,1,,,
0.00,93.74,0.00,,"March 19, 2021",431,2020-07-09 4:58PM EDT,1,,,
0.00,133.60,0.00,,"December 18, 2020",0,2020-07-13 10:49AM EDT,1,,,
0.00,28.15,0.00,,"June 17, 2022",0,2020-08-07 3:59PM EDT,3,,,
0.00,23.10,0.00,,"June 17, 2022",0,2020-08-07 2:25PM EDT,3,,,
0.00,2.30,0.00,,"September 17, 2021",0,2020-07-28 1:59PM EDT,1,,,
2.43,2.80,3.80,,"September 17, 2021",93,2020-07-02 3:50PM EDT,2,,,
0.00,105.60,0.00,,"October 16, 2020",1,2020-07-09 4:57PM EDT,5,,,
0.00,26.90,0.00,,"February 19, 2021",-,2020-08-07 11:56AM EDT,1,,,
0.00,24.10,0.00,,"February 19, 2021",-,2020-08-07 3:50PM EDT,2,,,
0.00,21.35,0.00,,"February 19, 2021",-,2020-08-07 3:04PM EDT,28,,,
0.00,43.70,0.00,,"January 21, 2022",0,2020-08-07 10:50AM EDT,4,,,
0.00,40.70,0.00,,"January 21, 2022",0,2020-08-07 3:56PM EDT,34,,,
0.00,35.90,0.00,,"January 21, 2022",0,2020-08-07 3:57PM EDT,195,,,
0.00,31.35,0.00,,"January 21, 2022",0,2020-08-07 3:55PM EDT,197,,,
0.00,87.22,0.00,,"November 20, 2020",0,2020-08-03 2:40PM EDT,3,,,
0.00,23.00,0.00,,"September 25, 2020",0,2020-08-07 1:05PM EDT,1,,,
0.00,1.53,0.00,,"March 18, 2022",0,2020-08-07 2:22PM EDT,873,,,
0.00,1.68,0.00,,"March 18, 2022",0,2020-08-07 10:10AM EDT,128,,,
0.00,2.02,0.00,,"March 18, 2022",0,2020-08-07 10:13AM EDT,94,,,
0.93,3.17,4.55,,"March 18, 2022",65,2020-06-16 3:36PM EDT,10,,,
0.00,2.97,0.00,,"March 18, 2022",0,2020-07-28 3:18PM EDT,1,,,
0.00,0.08,0.00,,"August 14, 2020",0,2020-08-07 3:48PM EDT,103,,,
0.00,0.10,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,185,,,
0.00,0.10,0.00,,"August 14, 2020",0,2020-08-07 3:57PM EDT,142,,,
0.00,0.11,0.00,,"August 14, 2020",0,2020-08-07 3:56PM EDT,406,,,
0.00,0.15,0.00,,"August 14, 2020",0,2020-08-07 3:58PM EDT,255,,,
0.00,0.19,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,443,,,
0.00,0.26,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,548,,,
0.00,0.32,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,901,,,
