ask,bid,change,contract_name,expiration,implied_volatility,last_trade,open_interest,option_type,perc_change,strike,volume
0.19,0.21,0.35,MSFT210319P00075000,"March 19, 2021",573,2020-07-23 1:41PM EDT,5,put,0.00,75.00,-
11.80,11.75,12.25,MSFT200925P00210000,"September 25, 2020",63,2020-08-10 11:34AM EDT,41,put,+1.92,210.00,+19.53%
13.25,11.00,13.60,MSFT200925P00212500,"September 25, 2020",4,2020-08-07 3:59PM EDT,5,put,0.00,212.50,-
14.75,11.85,15.35,MSFT200925P00215000,"September 25, 2020",28,2020-08-07 12:50PM EDT,27,put,0.00,215.00,-
16.10,12.68,16.65,MSFT200925P00217500,"September 25, 2020",5,2020-08-07 11:57AM EDT,3,put,0.00,217.50,-
19.55,14.75,20.50,MSFT200925P00222500,"September 25, 2020",4,2020-08-07 10:57AM EDT,4,put,0.00,222.50,-
23.50,23.88,24.40,MSFT200925P00227500,"September 25, 2020",1,2020-08-07 2:04PM EDT,1,put,+3.17,227.50,+15.31%
0.07,0.06,0.18,MSFT201218P00080000,"December 18, 2020","2,286",2020-08-04 3:26PM EDT,2,put,0.00,80.00,-
0.10,0.16,0.25,MSFT201218P00085000,"December 18, 2020","1,662",2020-08-05 11:54AM EDT,2,put,0.00,85.00,-
0.14,0.24,0.29,MSFT201218P00090000,"December 18, 2020",866,2020-08-05 10:59AM EDT,200,put,0.00,90.00,-
0.20,0.28,0.34,MSFT201218P00095000,"December 18, 2020",221,2020-08-06 11:40AM EDT,10,put,0.00,95.00,-
0.26,0.28,0.42,MSFT201218P00100000,"December 18, 2020",432,2020-08-05 9:45AM EDT,4,put,0.00,100.00,-
0.34,0.36,0.51,MSFT201218P00105000,"December 18, 2020",214,2020-07-27 3:14PM EDT,1,put,0.00,105.00,-
0.45,0.50,0.62,MSFT201218P00110000,"December 18, 2020","1,012",2020-08-07 2:07PM EDT,3,put,0.00,110.00,-
6.15,6.14,6.25,MSFT201016P00190000,"October 16, 2020","5,816",2020-08-10 11:25AM EDT,52,put,+0.94,190.00,+18.08%
7.55,7.75,7.85,MSFT201016P00195000,"October 16, 2020","3,105",2020-08-10 11:45AM EDT,50,put,+1.30,195.00,+20.16%
9.55,9.45,9.75,MSFT201016P00200000,"October 16, 2020","5,494",2020-08-10 11:36AM EDT,115,put,+1.44,200.00,+17.98%
11.50,11.80,12.10,MSFT201016P00205000,"October 16, 2020","3,259",2020-08-10 11:46AM EDT,98,put,+1.85,205.00,+18.59%
13.90,14.05,14.60,MSFT201016P00210000,"October 16, 2020","3,276",2020-08-10 11:34AM EDT,120,put,+1.95,210.00,+16.12%
16.95,17.00,17.15,MSFT201016P00215000,"October 16, 2020",686,2020-08-10 11:11AM EDT,17,put,+2.45,215.00,+16.84%
20.20,19.50,20.45,MSFT201016P00220000,"October 16, 2020",379,2020-08-10 10:32AM EDT,12,put,+1.85,220.00,+10.48%
23.55,20.75,23.90,MSFT201016P00225000,"October 16, 2020",66,2020-08-07 1:35PM EDT,3,put,0.00,225.00,-
